"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Epic: API tests","0","Feature: Schema Validation Tests","1","0","Story: Get users","0"
"0","Epic: API tests","0","Feature: GET API Tests","4","0","Story: Get users","0"
"0","Epic: API tests","0","Feature: PUT API Tests","1","0","Story: Update an existing post","0"
"0","Epic: API tests","0","Feature: POST API Tests","1","0","Story: Create a new post","0"
"0","Epic: API tests","0","Feature: Auth Tests","1","0","Story: authentication using X-API-Key token","0"
"0","Epic: API tests","0","Feature: DELETE API Tests","1","0","Story: Delete an existing post","0"
"0","Epic: API tests","0","Feature: Auth Tests","1","0","Story: authentication using Bearer token","0"
"0","Epic: API tests","0","Feature: PATCH API Tests","1","0","Story: Update an existing post","0"
